GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ReuneMe,com.equipo3.reuneme.model,Administrador,14,0,0,0,6,0,3,0,3,0
ReuneMe,com.equipo3.reuneme.model,EstadoReunion,27,0,0,0,5,0,1,0,1,0
ReuneMe,com.equipo3.reuneme.model,Token,65,0,2,0,23,0,14,0,13,0
ReuneMe,com.equipo3.reuneme.model,RegistroAusencia,24,0,0,0,10,0,7,0,7,0
ReuneMe,com.equipo3.reuneme.model,RegistroAdmin,10,0,0,0,4,0,3,0,3,0
ReuneMe,com.equipo3.reuneme.model,EstadoAsistente,21,0,0,0,4,0,1,0,1,0
ReuneMe,com.equipo3.reuneme.model,AsistenteId,59,0,10,0,10,0,9,0,4,0
ReuneMe,com.equipo3.reuneme.model,RegistroReunion,86,0,0,0,36,0,18,0,18,0
ReuneMe,com.equipo3.reuneme.model,PasswordResetToken,43,0,0,0,16,0,9,0,9,0
ReuneMe,com.equipo3.reuneme.model,Turno,36,0,0,0,15,0,8,0,8,0
ReuneMe,com.equipo3.reuneme.model,Reunion,86,0,0,0,35,0,18,0,18,0
ReuneMe,com.equipo3.reuneme.model,Ausencia,92,0,6,0,31,0,16,0,13,0
ReuneMe,com.equipo3.reuneme.model,RegistroEmp,38,0,0,0,17,0,11,0,11,0
ReuneMe,com.equipo3.reuneme.model,Usuario,78,0,0,0,33,0,21,0,21,0
ReuneMe,com.equipo3.reuneme.model,Asistente,46,0,0,0,19,0,10,0,10,0
ReuneMe,com.equipo3.reuneme.model,Empleado,45,0,0,0,18,0,11,0,11,0
ReuneMe,com.equipo3.reuneme.model,RegistroDatos,52,0,0,0,22,0,15,0,15,0
ReuneMe,com.equipo3.reuneme,App,8,0,0,0,3,0,2,0,2,0
ReuneMe,com.equipo3.reuneme,Auditable,3,0,0,0,1,0,1,0,1,0
ReuneMe,com.equipo3.reuneme.security,JwtTokenProvider,106,0,0,0,25,0,9,0,9,0
ReuneMe,com.equipo3.reuneme.security,JwtAuthenticationFilter,127,0,14,0,31,0,11,0,4,0
ReuneMe,com.equipo3.reuneme.service,TokenService,53,0,6,0,11,0,8,0,5,0
ReuneMe,com.equipo3.reuneme.service,TwoFactorAuthService,21,0,0,0,5,0,3,0,3,0
ReuneMe,com.equipo3.reuneme.service,EmailService,50,0,0,0,18,0,3,0,3,0
ReuneMe,com.equipo3.reuneme.service,PasswordService,74,0,0,0,13,0,3,0,3,0
ReuneMe,com.equipo3.reuneme.service,PasswordResetTokenService,99,0,10,0,24,0,11,0,6,0
ReuneMe,com.equipo3.reuneme.service,EmpleadoService,722,0,86,0,148,0,68,0,25,0
ReuneMe,com.equipo3.reuneme.service,UsuarioService,266,0,36,0,65,0,28,0,10,0
ReuneMe,com.equipo3.reuneme.service,AdminService,585,0,92,0,142,0,68,0,22,0
ReuneMe,com.equipo3.reuneme.controller,TokenController,46,0,4,0,11,0,6,0,4,0
ReuneMe,com.equipo3.reuneme.controller,EmpleadoController,214,0,18,0,43,0,27,0,18,0
ReuneMe,com.equipo3.reuneme.controller,UsuarioController,269,0,10,0,57,0,12,0,7,0
ReuneMe,com.equipo3.reuneme.controller,AdminController,368,0,30,0,87,0,35,0,20,0
ReuneMe,com.equipo3.reuneme.controller,PasswordResetController,177,0,12,0,41,0,10,0,4,0
ReuneMe,com.equipo3.reuneme.config,WebConfig,48,0,0,0,7,0,2,0,2,0
ReuneMe,com.equipo3.reuneme.config,SecurityConfig,495,0,0,0,55,0,8,0,8,0
ReuneMe,com.equipo3.reuneme.config,AppConfiguration,25,0,0,0,8,0,3,0,3,0
